threshold,false_positives,fp_per_scan,true_positives,sensitivity
0.02535819076001644,48,0.5517241379310345,97,0.9897959183673469
0.023699816316366196,49,0.5632183908045977,97,0.9897959183673469
0.022946711629629135,50,0.5747126436781609,97,0.9897959183673469
0.022344157099723816,51,0.5862068965517241,97,0.9897959183673469
0.022301167249679565,52,0.5977011494252874,97,0.9897959183673469
0.021875649690628052,53,0.6091954022988506,97,0.9897959183673469
0.021574556827545166,54,0.6206896551724138,97,0.9897959183673469
0.02123568020761013,55,0.632183908045977,97,0.9897959183673469
0.019322719424962997,56,0.6436781609195402,97,0.9897959183673469
0.01875670999288559,57,0.6551724137931034,97,0.9897959183673469
0.01868465170264244,58,0.6666666666666666,97,0.9897959183673469
0.01828589290380478,59,0.6781609195402298,97,0.9897959183673469
0.01810152642428875,60,0.6896551724137931,97,0.9897959183673469
0.01772448979318142,61,0.7011494252873564,97,0.9897959183673469
0.01689670979976654,62,0.7126436781609196,97,0.9897959183673469
0.01665925793349743,63,0.7241379310344828,97,0.9897959183673469
0.01490374468266964,64,0.735632183908046,97,0.9897959183673469
0.014863922260701656,65,0.7471264367816092,97,0.9897959183673469
0.014724088832736015,66,0.7586206896551724,97,0.9897959183673469
0.014546619728207588,67,0.7701149425287356,97,0.9897959183673469
0.014305973425507545,68,0.7816091954022989,97,0.9897959183673469
0.014241136610507965,69,0.7931034482758621,97,0.9897959183673469
0.01372944563627243,70,0.8045977011494253,97,0.9897959183673469
0.013245455920696259,71,0.8160919540229885,97,0.9897959183673469
0.013105294667184353,72,0.8275862068965517,97,0.9897959183673469
0.012900092639029026,73,0.8390804597701149,97,0.9897959183673469
0.012850717641413212,74,0.8505747126436781,97,0.9897959183673469
0.012345085851848125,75,0.8620689655172413,97,0.9897959183673469
0.011817374266684055,76,0.8735632183908046,97,0.9897959183673469
0.011800468899309635,77,0.8850574712643678,97,0.9897959183673469
0.011350552551448345,78,0.896551724137931,97,0.9897959183673469
