method,seed,degradation,level,auc,pr_auc,f1,threshold
resnet18_augmented,1,gaussian_noise,1,0.9950130428111095,0.9857366288977086,0.9186602870813397,0.22028842568397522
resnet18_augmented,1,gaussian_noise,2,0.9951153393688302,0.9852153053946371,0.9090909090909091,0.22028842568397522
resnet18_augmented,1,gaussian_noise,3,0.9926346478441002,0.9782342315640736,0.892018779342723,0.22028842568397522
resnet18_augmented,1,gaussian_noise,4,0.9868804664723032,0.9656562750546859,0.8815165876777251,0.22028842568397522
resnet18_augmented,1,gaussian_noise,5,0.9775459055802772,0.9447537577222386,0.8653846153846154,0.22028842568397522
resnet18_augmented,1,gaussian_blur,1,0.9952687842054115,0.9870199132510702,0.9142857142857143,0.22028842568397522
resnet18_augmented,1,gaussian_blur,2,0.9957035445757251,0.9878097712527099,0.919431279620853,0.22028842568397522
resnet18_augmented,1,gaussian_blur,3,0.9953199324842719,0.9864223178017404,0.9178743961352657,0.22028842568397522
resnet18_augmented,1,gaussian_blur,4,0.9934785944452968,0.980323914759492,0.8755760368663594,0.22028842568397522
resnet18_augmented,1,gaussian_blur,5,0.9868037440540125,0.9630266355235282,0.8103448275862069,0.22028842568397522
resnet18_augmented,1,window_shift,1,0.9951664876476907,0.9864953021935566,0.9142857142857143,0.22028842568397522
resnet18_augmented,1,window_shift,2,0.9953199324842719,0.9865036831125608,0.9142857142857143,0.22028842568397522
resnet18_augmented,1,window_shift,3,0.9956268221574345,0.9865641241521911,0.9186602870813397,0.22028842568397522
resnet18_augmented,1,window_shift,4,0.9956779704362948,0.9857829925497449,0.9230769230769231,0.22028842568397522
resnet18_augmented,1,window_shift,5,0.9956268221574344,0.9850826594855413,0.9230769230769231,0.22028842568397522
resnet18_augmented,1,jpeg,1,0.994961894532249,0.9860707030445203,0.9186602870813397,0.22028842568397522
resnet18_augmented,1,jpeg,2,0.9949363203928188,0.9860619926502471,0.9142857142857143,0.22028842568397522
resnet18_augmented,1,jpeg,3,0.9943736893253542,0.9844977141278499,0.919431279620853,0.22028842568397522
resnet18_augmented,1,jpeg,4,0.9946805789985167,0.9848062452382769,0.9142857142857143,0.22028842568397522
resnet18_augmented,1,jpeg,5,0.9932995754692855,0.9798080664528743,0.9320388349514563,0.22028842568397522
resnet18_augmented,1,resample,1,0.9954989514602834,0.9873461519930669,0.9142857142857143,0.22028842568397522
resnet18_augmented,1,resample,2,0.995703544575725,0.9875419156804142,0.9150943396226415,0.22028842568397522
resnet18_augmented,1,resample,3,0.9955245255997136,0.9871575712838174,0.927536231884058,0.22028842568397522
resnet18_augmented,1,resample,4,0.9945782824407958,0.983271056004361,0.8755760368663594,0.22028842568397522
