method,method_zh,seed,degradation,degradation_zh,level,auc,pr_auc,f1,threshold,auc_drop_from_clean,pr_auc_drop_from_clean,f1_drop_from_clean
resnet18_augmented,ResNet18（强增强）,1,low_contrast,低对比度,5,0.9127666104035598,0.8447300673839268,0.7835051546391752,0.2202884256839752,0.08216970998925899,0.1413202514448001,0.13078055964653912
resnet18_augmented,ResNet18（强增强）,1,gaussian_noise,高斯噪声,1,0.9950130428111096,0.9857366288977086,0.9186602870813396,0.2202884256839752,-7.672241829081994e-05,0.00031368993101821285,-0.004374572795625253
resnet18_augmented,ResNet18（强增强）,1,gaussian_noise,高斯噪声,2,0.9951153393688302,0.9852153053946372,0.9090909090909092,0.2202884256839752,-0.0001790189760114691,0.0008350134340896487,0.0051948051948051965
resnet18_augmented,ResNet18（强增强）,1,gaussian_noise,高斯噪声,3,0.9926346478441002,0.9782342315640736,0.892018779342723,0.2202884256839752,0.002301672548718603,0.007816087264653215,0.022266934942991368
resnet18_augmented,ResNet18（强增强）,1,gaussian_noise,高斯噪声,4,0.9868804664723032,0.965656275054686,0.8815165876777251,0.2202884256839752,0.008055853920515554,0.02039404377404086,0.03276912660798925
resnet18_augmented,ResNet18（强增强）,1,gaussian_noise,高斯噪声,5,0.9775459055802772,0.9447537577222386,0.8653846153846154,0.2202884256839752,0.017390414812541555,0.04129656110648827,0.04890109890109895
resnet18_augmented,ResNet18（强增强）,1,gaussian_blur,高斯模糊,1,0.9952687842054116,0.9870199132510702,0.9142857142857144,0.2202884256839752,-0.00033246381259288693,-0.000969594422343345,0.0
resnet18_augmented,ResNet18（强增强）,1,gaussian_blur,高斯模糊,2,0.9957035445757252,0.98780977125271,0.919431279620853,0.2202884256839752,-0.000767224182906423,-0.001759452423983121,-0.005145565335138658
resnet18_augmented,ResNet18（强增强）,1,gaussian_blur,高斯模糊,3,0.995319932484272,0.9864223178017404,0.9178743961352656,0.2202884256839752,-0.0003836120914532115,-0.0003719989730135431,-0.0035886818495511896
resnet18_augmented,ResNet18（强增强）,1,gaussian_blur,高斯模糊,4,0.9934785944452968,0.980323914759492,0.8755760368663594,0.2202884256839752,0.001457725947521915,0.005726404069234858,0.03870967741935494
resnet18_augmented,ResNet18（强增强）,1,gaussian_blur,高斯模糊,5,0.9868037440540124,0.9630266355235282,0.8103448275862069,0.2202884256839752,0.008132576338806374,0.02302368330519866,0.10394088669950752
resnet18_augmented,ResNet18（强增强）,1,window_shift,窗位偏移,1,0.9951664876476908,0.9864953021935566,0.9142857142857144,0.2202884256839752,-0.00023016725487201573,-0.0004449833648297874,0.0
resnet18_augmented,ResNet18（强增强）,1,window_shift,窗位偏移,2,0.995319932484272,0.9865036831125608,0.9142857142857144,0.2202884256839752,-0.0003836120914532115,-0.0004533642838339125,0.0
resnet18_augmented,ResNet18（强增强）,1,window_shift,窗位偏移,3,0.9956268221574344,0.9865641241521912,0.9186602870813396,0.2202884256839752,-0.0006905017646156031,-0.0005138053234643447,-0.004374572795625253
resnet18_augmented,ResNet18（强增强）,1,window_shift,窗位偏移,4,0.9956779704362948,0.9857829925497448,0.9230769230769232,0.2202884256839752,-0.0007416500434760387,0.00026732627898207184,-0.008791208791208871
resnet18_augmented,ResNet18（强增强）,1,window_shift,窗位偏移,5,0.9956268221574344,0.9850826594855412,0.9230769230769232,0.2202884256839752,-0.0006905017646156031,0.0009676593431856562,-0.008791208791208871
resnet18_augmented,ResNet18（强增强）,1,jpeg,JPEG 压缩,1,0.994961894532249,0.9860707030445204,0.9186602870813396,0.2202884256839752,-2.5574139430273313e-05,-2.038421579353411e-05,-0.004374572795625253
resnet18_augmented,ResNet18（强增强）,1,jpeg,JPEG 压缩,2,0.9949363203928188,0.9860619926502472,0.9142857142857144,0.2202884256839752,0.0,-1.1673821520341576e-05,0.0
resnet18_augmented,ResNet18（强增强）,1,jpeg,JPEG 压缩,3,0.9943736893253542,0.98449771412785,0.919431279620853,0.2202884256839752,0.0005626310674645696,0.001552604700876814,-0.005145565335138658
resnet18_augmented,ResNet18（强增强）,1,jpeg,JPEG 压缩,4,0.9946805789985168,0.9848062452382768,0.9142857142857144,0.2202884256839752,0.00025574139430195597,0.00124407359045009,0.0
resnet18_augmented,ResNet18（强增强）,1,jpeg,JPEG 压缩,5,0.9932995754692856,0.9798080664528744,0.9320388349514565,0.2202884256839752,0.0016367449235331621,0.0062422523758524084,-0.017753120665742084
resnet18_augmented,ResNet18（强增强）,1,resample,下采样,1,0.9954989514602834,0.9873461519930667,0.9142857142857144,0.2202884256839752,-0.0005626310674646806,-0.001295833164339899,0.0
