method,method_zh,seed,degradation,degradation_zh,level,auc,pr_auc,f1,threshold,auc_drop_from_clean,pr_auc_drop_from_clean,f1_drop_from_clean
pbip_full,PBIP + 原型对比损失,1,jpeg,JPEG 压缩,1,0.9951920617871208,0.985772035456462,0.93,0.618535578250885,-0.0001534448365811958,-0.0003798407540172022,0.0
pbip_full,PBIP + 原型对比损失,1,jpeg,JPEG 压缩,2,0.9953966549025626,0.9863934272796908,0.9253731343283582,0.618535578250885,-0.0003580379520229382,-0.0010012325772460473,0.004626865671641833
pbip_full,PBIP + 原型对比损失,1,jpeg,JPEG 压缩,3,0.9945015600225052,0.9840622186744156,0.92,0.618535578250885,0.0005370569280344073,0.0013299760280292006,0.010000000000000009
pbip_full,PBIP + 原型对比损失,1,jpeg,JPEG 压缩,4,0.994834023835098,0.9837096441945548,0.92,0.618535578250885,0.0002045931154416314,0.0016825505078900127,0.010000000000000009
pbip_full,PBIP + 原型对比损失,1,jpeg,JPEG 压缩,5,0.9934018720270062,0.9776538164267754,0.9387755102040816,0.618535578250885,0.0016367449235333842,0.007738378275669366,-0.008775510204081516
pbip_full,PBIP + 原型对比损失,1,resample,下采样,1,0.9963684722009104,0.9877274326477364,0.9292929292929292,0.618535578250885,-0.0013298552503707706,-0.0023352379452916683,0.0007070707070708782
pbip_full,PBIP + 原型对比损失,1,resample,下采样,2,0.996547491176922,0.9877537071249812,0.9292929292929292,0.618535578250885,-0.0015088742263823507,-0.0023615124225364603,0.0007070707070708782
pbip_full,PBIP + 原型对比损失,1,resample,下采样,3,0.9966497877346426,0.9873474405984016,0.934010152284264,0.618535578250885,-0.0016111707841029999,-0.0019552458959568586,-0.004010152284263935
pbip_full,PBIP + 原型对比损失,1,resample,下采样,4,0.9960360083883176,0.9843734790032173,0.9346733668341708,0.618535578250885,-0.0009973914377779947,0.0010187156992275126,-0.004673366834170745
pbip_full,PBIP + 原型对比损失,1,resample,下采样,5,0.9753465295892794,0.9325164193361062,0.8165137614678899,0.618535578250885,0.01969208736126027,0.052875775366338584,0.11348623853211015
