threshold,false_positives,fp_per_scan,true_positives,sensitivity
0.012824242934584618,103,1.1839080459770115,98,1.0
0.01233305037021637,104,1.1954022988505748,98,1.0
0.012286114506423473,105,1.206896551724138,98,1.0
0.012080895714461803,106,1.2183908045977012,98,1.0
0.011448558419942856,107,1.2298850574712643,98,1.0
0.011407536454498768,108,1.2413793103448276,98,1.0
0.010836383327841759,109,1.2528735632183907,98,1.0
0.010569666512310505,110,1.264367816091954,98,1.0
0.010540961287915707,111,1.2758620689655173,98,1.0
0.010434032417833805,112,1.2873563218390804,98,1.0
0.010358963161706924,113,1.2988505747126438,98,1.0
0.010130096226930618,114,1.3103448275862069,98,1.0
0.010016941465437412,115,1.3218390804597702,98,1.0
0.00990823283791542,116,1.3333333333333333,98,1.0
0.00987439975142479,117,1.3448275862068966,98,1.0
0.00981428287923336,118,1.3563218390804597,98,1.0
0.009801882319152355,119,1.367816091954023,98,1.0
0.009725122712552547,120,1.3793103448275863,98,1.0
0.009669522754848003,121,1.3908045977011494,98,1.0
0.009653143584728241,122,1.4022988505747127,98,1.0
0.009565875865519047,123,1.4137931034482758,98,1.0
0.009463274851441383,124,1.4252873563218391,98,1.0
0.009404403157532215,125,1.4367816091954022,98,1.0
0.009317033924162388,126,1.4482758620689655,98,1.0
0.0091116176918149,127,1.4597701149425288,98,1.0
0.009061765857040882,128,1.471264367816092,98,1.0
0.00895467959344387,129,1.4827586206896552,98,1.0
0.008845034055411816,130,1.4942528735632183,98,1.0
0.008521155454218388,131,1.5057471264367817,98,1.0
0.008324595168232918,132,1.5172413793103448,98,1.0
0.008109141141176224,133,1.528735632183908,98,1.0
0.0077185845002532005,134,1.5402298850574712,98,1.0
0.007661925163120031,135,1.5517241379310345,98,1.0
0.007558189332485199,136,1.5632183908045978,98,1.0
0.007525190245360136,137,1.5747126436781609,98,1.0
0.007192517630755901,138,1.5862068965517242,98,1.0
0.007189868949353695,139,1.5977011494252873,98,1.0
0.006914536934345961,140,1.6091954022988506,98,1.0
0.0068817138671875,141,1.6206896551724137,98,1.0
0.006638904567807913,142,1.632183908045977,98,1.0
0.006543351802974939,143,1.6436781609195403,98,1.0
0.006343936547636986,144,1.6551724137931034,98,1.0
0.006324875634163618,145,1.6666666666666667,98,1.0
0.006232071202248335,146,1.6781609195402298,98,1.0
0.006145467981696129,147,1.6896551724137931,98,1.0
0.006112097296863794,148,1.7011494252873562,98,1.0
0.006016995757818222,149,1.7126436781609196,98,1.0
0.005988504737615585,150,1.7241379310344827,98,1.0
0.005865819286555052,151,1.735632183908046,98,1.0
0.005807141307741404,152,1.7471264367816093,98,1.0
0.005763084627687931,153,1.7586206896551724,98,1.0
0.005413560662418604,154,1.7701149425287357,98,1.0
0.005254868883639574,155,1.7816091954022988,98,1.0
0.004992871079593897,156,1.793103448275862,98,1.0
0.00498920539394021,157,1.8045977011494252,98,1.0
0.004919801838696003,158,1.8160919540229885,98,1.0
0.004859596025198698,159,1.8275862068965518,98,1.0
0.004668924026191235,160,1.839080459770115,98,1.0
0.004639368038624525,161,1.8505747126436782,98,1.0
0.00460659759119153,162,1.8620689655172413,98,1.0
0.004564402159303427,163,1.8735632183908046,98,1.0
0.0045626042410731316,164,1.8850574712643677,98,1.0
0.004554504994302988,165,1.896551724137931,98,1.0
0.004536872263997793,166,1.9080459770114941,98,1.0
0.004492394160479307,167,1.9195402298850575,98,1.0
0.004482678137719631,168,1.9310344827586208,98,1.0
0.004468543455004692,169,1.9425287356321839,98,1.0
0.004465875215828419,170,1.9540229885057472,98,1.0
0.004404445178806782,171,1.9655172413793103,98,1.0
0.004374385811388493,172,1.9770114942528736,98,1.0
0.004364578053355217,173,1.9885057471264367,98,1.0
0.004303159657865763,174,2.0,98,1.0
0.004291466902941465,175,2.0114942528735633,98,1.0
0.0042649139650166035,176,2.0229885057471266,98,1.0
0.0041358922608196735,177,2.0344827586206895,98,1.0
0.00409851036965847,178,2.045977011494253,98,1.0
0.004077680874615908,179,2.057471264367816,98,1.0
0.003933902829885483,180,2.0689655172413794,98,1.0
0.003882196731865406,181,2.0804597701149423,98,1.0
0.0038378890603780746,182,2.0919540229885056,98,1.0
0.0037174199242144823,183,2.103448275862069,98,1.0
0.0037172380834817886,184,2.1149425287356323,98,1.0
0.0036918004043400288,185,2.1264367816091956,98,1.0
0.0036580541636794806,186,2.1379310344827585,98,1.0
0.0036348970606923103,187,2.1494252873563218,98,1.0
0.0036136379931122065,188,2.160919540229885,98,1.0
0.003562855999916792,189,2.1724137931034484,98,1.0
0.0035493711475282907,190,2.1839080459770117,98,1.0
0.0035134460777044296,191,2.1954022988505746,98,1.0
0.0034843001049011946,192,2.206896551724138,98,1.0
0.003477698192000389,193,2.218390804597701,98,1.0
0.0034524158108979464,194,2.2298850574712645,98,1.0
0.003436080180108547,195,2.2413793103448274,98,1.0
0.0034220581874251366,196,2.2528735632183907,98,1.0
0.0034135947935283184,197,2.264367816091954,98,1.0
0.003401651745662093,198,2.2758620689655173,98,1.0
0.0033463656436651945,199,2.2873563218390807,98,1.0
0.0033116592094302177,200,2.2988505747126435,98,1.0
0.003257341217249632,201,2.310344827586207,98,1.0
0.003242578823119402,202,2.32183908045977,98,1.0
0.0032308686058968306,203,2.3333333333333335,98,1.0
0.0031818633433431387,204,2.3448275862068964,98,1.0
0.003170353826135397,205,2.3563218390804597,98,1.0
0.0031305160373449326,206,2.367816091954023,98,1.0
0.003103912342339754,207,2.3793103448275863,98,1.0
0.00310342526063323,208,2.3908045977011496,98,1.0
0.0030894556548446417,209,2.4022988505747125,98,1.0
0.003011847846210003,210,2.413793103448276,98,1.0
0.0029978128150105476,211,2.425287356321839,98,1.0
0.0029950165189802647,212,2.4367816091954024,98,1.0
0.0029871612787246704,213,2.4482758620689653,98,1.0
0.0029839223716408014,214,2.4597701149425286,98,1.0
0.002968074753880501,215,2.471264367816092,98,1.0
0.0029620174318552017,216,2.4827586206896552,98,1.0
0.0029452971648424864,217,2.4942528735632186,98,1.0
0.0029037443455308676,218,2.5057471264367814,98,1.0
0.002847161376848817,219,2.5172413793103448,98,1.0
0.002817142056301236,220,2.528735632183908,98,1.0
0.0028141792863607407,221,2.5402298850574714,98,1.0
0.002807385753840208,222,2.5517241379310347,98,1.0
0.0027981395833194256,223,2.5632183908045976,98,1.0
0.0027768563013523817,224,2.574712643678161,98,1.0
0.002731993095949292,225,2.586206896551724,98,1.0
0.0027211483102291822,226,2.5977011494252875,98,1.0
0.0027112050447613,227,2.6091954022988504,98,1.0
0.002669243374839425,228,2.6206896551724137,98,1.0
0.002665349282324314,229,2.632183908045977,98,1.0
0.002658422337844968,230,2.6436781609195403,98,1.0
0.0025892474222928286,231,2.6551724137931036,98,1.0
0.002562564332038164,232,2.6666666666666665,98,1.0
0.0025435895659029484,233,2.67816091954023,98,1.0
0.0025239174719899893,234,2.689655172413793,98,1.0
0.0025007319636642933,235,2.7011494252873565,98,1.0
0.0024934024550020695,236,2.7126436781609193,98,1.0
0.0024829285684973,237,2.7241379310344827,98,1.0
0.002472307998687029,238,2.735632183908046,98,1.0
0.0024497932754456997,239,2.7471264367816093,98,1.0
0.002448098501190543,240,2.7586206896551726,98,1.0
0.002429987769573927,241,2.7701149425287355,98,1.0
0.0023972552735358477,242,2.781609195402299,98,1.0
0.0023590915370732546,243,2.793103448275862,98,1.0
0.0022948060650378466,244,2.8045977011494254,98,1.0
0.0022690161131322384,245,2.8160919540229883,98,1.0
0.0022683513816446066,246,2.8275862068965516,98,1.0
0.002266686875373125,247,2.839080459770115,98,1.0
0.002236017258837819,248,2.8505747126436782,98,1.0
0.002221815288066864,249,2.8620689655172415,98,1.0
0.002209421945735812,250,2.8735632183908044,98,1.0
0.0021744456607848406,251,2.8850574712643677,98,1.0
0.0021567014046013355,252,2.896551724137931,98,1.0
0.002147018676623702,253,2.9080459770114944,98,1.0
0.0021236734464764595,254,2.9195402298850577,98,1.0
0.002077861689031124,255,2.9310344827586206,98,1.0
0.0020647067576646805,256,2.942528735632184,98,1.0
0.00205895840190351,257,2.954022988505747,98,1.0
0.002005149144679308,258,2.9655172413793105,98,1.0
0.0020008666906505823,259,2.9770114942528734,98,1.0
0.0019206583965569735,260,2.9885057471264367,98,1.0
0.0019195792265236378,261,3.0,98,1.0
0.0018437919206917286,262,3.0114942528735633,98,1.0
0.001831830944865942,263,3.0229885057471266,98,1.0
0.0018196149030700326,264,3.0344827586206895,98,1.0
0.0018131403485313058,265,3.045977011494253,98,1.0
0.001800444326363504,266,3.057471264367816,98,1.0
0.0017928068991750479,267,3.0689655172413794,98,1.0
0.0017511391779407859,268,3.0804597701149423,98,1.0
0.0017474747728556395,269,3.0919540229885056,98,1.0
0.001707132556475699,270,3.103448275862069,98,1.0
0.0016780260484665632,271,3.1149425287356323,98,1.0
0.001640446949750185,272,3.1264367816091956,98,1.0
0.0016211060574278235,273,3.1379310344827585,98,1.0
0.0015895465621724725,274,3.1494252873563218,98,1.0
0.0015870572533458471,275,3.160919540229885,98,1.0
0.0015817275270819664,276,3.1724137931034484,98,1.0
0.001527594868093729,277,3.1839080459770117,98,1.0
0.0015268910210579634,278,3.1954022988505746,98,1.0
0.0015203218208625913,279,3.206896551724138,98,1.0
0.0014990615891292691,280,3.218390804597701,98,1.0
0.0014866138808429241,281,3.2298850574712645,98,1.0
0.0014756760792806745,282,3.2413793103448274,98,1.0
0.0014646775089204311,283,3.2528735632183907,98,1.0
0.0014587645418941975,284,3.264367816091954,98,1.0
0.0014521573903039098,285,3.2758620689655173,98,1.0
0.0013960106298327446,286,3.2873563218390807,98,1.0
0.0013959561474621296,287,3.2988505747126435,98,1.0
0.0013760770671069622,288,3.310344827586207,98,1.0
0.0013686794554814696,289,3.32183908045977,98,1.0
0.0013419553870335221,290,3.3333333333333335,98,1.0
0.0013373354449868202,291,3.3448275862068964,98,1.0
0.0013048496330156922,292,3.3563218390804597,98,1.0
0.001271493500098586,293,3.367816091954023,98,1.0
0.0012665336253121495,294,3.3793103448275863,98,1.0
0.0012551562394946814,295,3.3908045977011496,98,1.0
0.0012272810563445091,296,3.4022988505747125,98,1.0
